City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
busselton,88,AU,1554050425,31,-33.64,115.35,295.93,3.46
benidorm,75,ES,1554050548,87,38.54,-0.13,288.15,1
petatlan,5,MX,1554047100,69,17.52,-101.27,300.15,2.6
blackwater,0,GB,1554050664,57,51.33,-0.78,286.48,8.2
saldanha,92,PT,1554050683,36,41.42,-6.55,289.963,1.96
ulladulla,68,AU,1554050671,71,-35.36,150.48,286.48,4.6
hermanus,12,ZA,1554049876,67,-34.42,19.24,291.48,3.58
dikson,44,RU,1554050684,94,73.51,80.55,271.763,9.86
pochutla,75,MX,1554049915,66,15.74,-96.47,303.15,2.6
dalian,20,CN,1554048000,94,19.86,110.11,298.15,4
mogocha,76,RU,1554050685,72,53.73,119.76,262.313,1.41
geraldton,75,CA,1554048960,41,49.72,-86.95,268.15,3.6
maniitsoq,76,GL,1554050686,93,65.42,-52.9,267.313,6.11
yellowknife,75,CA,1554050526,93,62.45,-114.38,274.26,5.7
novovasylivka,0,UA,1554050688,69,48.2,37.04,280.713,1.21
tabas,92,IR,1554048000,29,33.6,56.92,297.15,1
tenenkou,0,ML,1554050688,22,14.46,-4.91,311.413,1.26
caravelas,0,BR,1554050689,100,-17.73,-39.27,300.663,6.91
faanui,64,PF,1554050689,100,-16.48,-151.75,301.513,2.01
atuona,68,PF,1554050690,100,-9.8,-139.03,300.663,5.81
kodiak,1,US,1554050686,22,39.95,-94.76,275.93,3.6
bereda,40,ES,1554050643,59,43.27,-7.54,291.48,3.1
fortuna,90,ES,1554050670,93,38.18,-1.13,288.15,8.2
albany,90,US,1554050525,100,42.65,-73.75,279.26,8.7
qaqortoq,20,GL,1554047400,45,60.72,-46.03,268.15,4.6
mount isa,0,AU,1554048000,45,-20.73,139.49,292.15,5.7
charlestown,90,US,1554050682,93,41.38,-71.64,288.15,7.7
trairi,64,BR,1554050694,100,-3.28,-39.27,300.763,2.06
cabo san lucas,5,MX,1554050416,38,22.89,-109.91,301.48,1.66
zvenigovo,0,RU,1554048000,75,55.97,48.02,278.15,9
punta arenas,75,CL,1554050546,62,-53.16,-70.91,286.15,5.1
ossora,88,RU,1554050695,93,59.24,163.07,271.613,5.16
bluff,0,AU,1554050696,62,-23.58,149.07,285.713,4.21
saskylakh,0,RU,1554050600,73,71.97,114.09,265.763,5.66
mataura,36,NZ,1554050406,70,-46.19,168.86,289.82,2.24
codrington,0,AU,1554048000,93,-28.95,153.24,288.15,1.76
aklavik,90,CA,1554048900,69,68.22,-135.01,277.15,5.1
agogo,48,GH,1554050698,78,6.8,-1.08,301.263,1.96
new norfolk,40,AU,1554050654,53,-42.78,147.06,284.15,3.6
pontianak,24,ID,1554050698,95,-0.02,109.34,299.513,1.51
puerto ayora,20,EC,1554049945,74,-0.74,-90.35,301.15,4.6
east london,40,ZA,1554048000,83,-33.02,27.91,294.15,2.6
tocopilla,0,CL,1554050511,92,-22.09,-70.2,293.863,4.21
port alfred,100,ZA,1554050700,89,-33.59,26.89,294.413,1.61
buin,75,CL,1554050604,72,-33.73,-70.74,294.26,1.5
alofi,44,NU,1554048000,94,-19.06,-169.92,299.15,2.6
ostrovnoy,12,RU,1554050701,81,68.05,39.51,268.763,7.06
hambantota,20,LK,1554045000,88,6.12,81.12,301.15,2.6
ketchikan,20,US,1554047760,86,55.34,-131.65,278.15,3.1
bhandara,20,IN,1554048000,16,21.16,79.65,307.15,2.6
abu zabad,0,SD,1554050577,25,12.35,29.25,297.963,3.31
lebork,20,PL,1554050658,52,54.54,17.75,279.82,8.7
bredasdorp,36,ZA,1554049842,52,-34.53,20.04,293.15,11.3
tiksi,80,RU,1554050774,76,71.64,128.87,266.013,2.81
hobyo,56,SO,1554050775,81,5.35,48.53,300.013,4.81
saint-philippe,90,CA,1554050736,90,45.36,-73.48,275.15,8.2
coihaique,0,CL,1554048000,45,-45.58,-72.07,291.15,13.9
barrow,12,AR,1554050776,38,-38.31,-60.23,301.763,3.46
ushuaia,75,AR,1554048000,71,-54.81,-68.31,284.15,5.1
eureka,90,US,1554050620,87,40.8,-124.16,283.71,1.5
comodoro rivadavia,0,AR,1554048000,29,-45.87,-67.48,297.15,6.7
nanortalik,44,GL,1554050778,100,60.14,-45.24,270.513,12.51
chaihe,8,CN,1554050778,56,44.77,129.68,258.113,1.21
kochki,0,RU,1554050779,90,54.33,80.49,271.663,5.36
rikitea,56,PF,1554050532,100,-23.12,-134.97,297.963,8.71
airai,0,TL,1554050780,86,-8.93,125.41,291.313,0.61
