City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
tuktoyaktuk,5,CA,1554516000,77,69.44,-133.03,256.15,5.1
mataura,0,NZ,1554518407,50,-46.19,168.86,287.59,0.89
pisco,0,PE,1554516000,78,-13.71,-76.2,295.15,1
cortez,20,US,1554519741,32,37.35,-108.58,284.15,1.5
hambantota,0,LK,1554516600,88,6.12,81.12,300.15,3.1
san patricio,92,PY,1554519805,84,-26.98,-56.83,291.267,2.97
ilulissat,0,GL,1554515400,46,69.22,-51.1,272.15,11.3
namibe,0,AO,1554519854,100,-15.19,12.15,298.217,1.67
rikitea,48,PF,1554519854,100,-23.12,-134.97,298.417,6.62
bluff,0,AU,1554519855,44,-23.58,149.07,302.667,4.22
chirongui,0,YT,1554517800,83,-12.93,45.15,301.15,2.6
georgetown,0,GY,1554516000,88,6.8,-58.16,297.15,2.1
cape town,0,ZA,1554519492,76,-33.93,18.42,287.59,2.1
komsomolskiy,92,RU,1554519858,91,67.55,63.78,269.117,9.77
swan river,0,CA,1554519858,64,52.11,-101.27,270.567,2.47
ostrovnoy,0,RU,1554519859,84,68.05,39.51,266.917,8.27
bonthe,44,SL,1554519859,91,7.53,-12.5,299.567,1.77
port alfred,80,ZA,1554519752,91,-33.59,26.89,287.59,3.42
lakatoro,76,VU,1554519860,100,-16.11,167.42,300.167,2.97
hobart,40,AU,1554519555,39,-42.88,147.33,292.59,7.7
carnarvon,0,ZA,1554519861,91,-30.97,22.13,281.617,4.77
marzuq,8,YE,1554519861,87,14.4,46.47,285.117,1.07
ancud,90,CL,1554516000,87,-41.87,-73.83,283.15,2.1
punta arenas,40,CL,1554519147,100,-53.16,-70.91,277.15,11.8
albany,90,US,1554519574,100,42.65,-73.75,274.82,1.5
mar del plata,12,AR,1554519863,53,-46.43,-67.52,290.317,14.82
vaini,56,IN,1554519806,81,15.34,74.49,296.417,1.02
dikson,76,RU,1554519863,100,73.51,80.55,266.667,5.87
lebu,0,ET,1554516000,77,8.96,38.73,288.15,3.6
hilo,75,US,1554519813,65,19.71,-155.08,299.15,5.1
lunenburg,90,US,1554519722,93,42.59,-71.72,275.37,1.5
hirara,20,JP,1554516000,73,24.8,125.28,297.15,2.6
anadyr,0,RU,1554519147,78,64.73,177.51,263.15,3
oktyabrskoye,0,RU,1554519648,34,56.73,85.44,277.04,3
lagoa,40,PT,1554519731,81,37.14,-8.45,283.71,3.6
hermanus,0,ZA,1554519731,85,-34.42,19.24,288.71,4.92
sigli,0,ID,1554519791,88,5.38,95.96,302.217,0.57
ushuaia,40,AR,1554516000,93,-54.81,-68.31,277.15,10.8
mahebourg,75,MU,1554519842,83,-20.41,57.7,299.15,5.1
faanui,88,PF,1554519868,100,-16.48,-151.75,302.467,6.62
ruzhyn,0,UA,1554517800,74,49.72,29.2,274.15,4
san fernando,0,CL,1554516000,63,-34.58,-70.99,289.15,1.5
avarua,0,CK,1554517800,65,-21.21,-159.78,300.15,4.1
saskylakh,0,RU,1554519871,86,71.97,114.09,263.767,5.67
starosubkhangulovo,12,RU,1554519871,81,53.1,57.43,268.667,1.22
victoria,75,BN,1554517800,70,5.28,115.24,304.15,2.6
rosa zarate,88,EC,1554519873,96,0.33,-79.47,295.167,0.77
kloulklubed,75,PW,1554515400,79,7.04,134.26,302.15,4.1
valle hermoso,75,MX,1554519856,94,25.67,-97.82,297.59,3.6
oria,0,IT,1554519840,93,40.5,17.64,286.48,1
atuona,92,PF,1554519874,99,-9.8,-139.03,301.417,6.27
iqaluit,90,CA,1554519122,92,63.75,-68.52,265.15,5.22
praia da vitoria,20,PT,1554519693,82,38.73,-27.07,288.15,10.12
tasiilaq,56,GL,1554515400,58,65.61,-37.64,272.15,13.4
new norfolk,40,AU,1554519855,39,-42.78,147.06,292.15,7.7
dingle,24,PH,1554519876,63,11,122.67,303.917,4.32
kapaa,1,US,1554519797,57,22.08,-159.32,300.15,3.6
hearst,64,CA,1554519937,88,49.69,-83.67,273.917,2.52
leonidovo,88,RU,1554519937,72,49.28,142.87,275.467,4.67
longyearbyen,90,NO,1554515400,72,78.22,15.63,265.15,1
richards bay,92,ZA,1554519938,100,-28.77,32.06,291.967,10.42
